2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@137] Found node in cache: 4
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 4 from Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 4
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::insert@299] Inserting 9
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 4 from Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 4
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 6 from Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 6
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 7 from Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 7
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 8 from Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 8
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@165] Insert a new node 9 into cache
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@131] Write node 8 to the Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@137] Found node in cache: 8
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 8 from Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 8
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@131] Write node 7 to the Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@137] Found node in cache: 7
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 7 from Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 7
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 8 from Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 8
2021-08-16 11:49:15.462 INFO  [12530625] [*SEAL::Client::left_rotate@395] Doing left rotating
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 7 from Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 7
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 8 from Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 8
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@131] Write node 7 to the Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@137] Found node in cache: 7
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@131] Write node 8 to the Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@137] Found node in cache: 8
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@131] Write node 6 to the Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@137] Found node in cache: 6
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 6 from Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 6
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@131] Write node 4 to the Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@137] Found node in cache: 4
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 4 from Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 4
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::insert@299] Inserting 10
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 4 from Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 4
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 6 from Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 6
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 8 from Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 8
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 9 from Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 9
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@165] Insert a new node 10 into cache
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@131] Write node 9 to the Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@137] Found node in cache: 9
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 9 from Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 9
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@131] Write node 8 to the Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@137] Found node in cache: 8
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 8 from Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 8
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@131] Write node 6 to the Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@137] Found node in cache: 6
